id;title;description;keywords;author;favicon_path;logo_path;logo_width;logo_height;footer_title;is_active;created_at;updated_at
1;wonderful;excluding;phew red phew;digital zowie;past awkwardly;hence contractor;14047;20736;handover;false;2025-12-04T21:06:35;2025-12-04T17:00:43
2;good-natured;ouch after incidentally;beneath recent;folklore or but;recent over forsaken;pro;3523;30388;incidentally;true;2025-12-04T09:41:08;2025-12-04T19:04:14
3;brisk elegant backburn;stratify schnitzel curl;uh-huh who;narrate;weatherize;absent;7094;20653;above;false;2025-12-05T04:21:46;2025-12-04T21:43:14
4;seldom;geez inside since;ack pfft;patiently;whoa beside;um substantiate;26488;13791;tag besides;true;2025-12-04T08:02:25;2025-12-04T11:47:06
5;powerfully penalise;astride;huzzah fooey;goat defensive;soggy ha;story;24288;15897;usefully;false;2025-12-04T15:18:12;2025-12-04T21:07:42
6;cone where soap;waterlogged elastic;yogurt beautifully gosh;upwardly which genuine;till dreary ha;usefully pinion alligator;7997;687;since needy construe;true;2025-12-04T09:47:41;2025-12-04T22:15:37
7;fast;over;farmer but opposite;whoa;weight;option;19539;15997;damp atop upward;true;2025-12-04T23:32:15;2025-12-04T22:06:59
8;lightly wry boldly;and utterly under;busily;guest;jaggedly;upon anticodon;32592;28003;jubilantly wavy;false;2025-12-04T06:08:10;2025-12-05T05:14:47
9;twine;shyly behold preclude;besides deceivingly in;think;mortally;furthermore querulous;13750;29707;pish;true;2025-12-05T04:05:52;2025-12-04T23:08:36
10;ouch lest trial;splendid pale whether;inferior;digestive;average celebrated;amidst outrun slowly;21023;32270;furthermore shudder punctual;true;2025-12-05T00:42:41;2025-12-05T02:18:29
